"1","동화약품","의약품 제조업","000020"
"2","KR모터스","그 외 기타 운송장비 제조업","000040"
"3","경방","종합 소매업","000050"
"4","삼양홀딩스","기타 금융업","000070"
"5","하이트진로","알코올음료 제조업","000080"
"6","유한양행","의약품 제조업","000100"
"7","CJ대한통운","도로 화물 운송업","000120"
"8","하이트진로홀딩스","기타 금융업","000140"
"9","두산","회사 본부 및 경영 컨설팅 서비스업","000150"
"10","성창기업지주","회사 본부 및 경영 컨설팅 서비스업","000180"
"11","대림산업","토목 건설업","000210"
"12","유유제약","의약품 제조업","000220"
"13","일동홀딩스","기타 금융업","000230"
"14","한국테크놀로지그룹","기타 금융업","000240"
"15","삼천당제약","의약품 제조업","000250"
"16","기아자동차","자동차용 엔진 및 자동차 제조업","000270"
"17","대유플러스","통신 및 방송 장비 제조업","000300"
"18","노루홀딩스","기타 금융업","000320"
"19","삼화페인트공업","기타 화학제품 제조업","000390"
"20","대원강업","자동차 신품 부품 제조업","000430"
"21","조선내화","내화 비내화 요업제품 제조업","000480"
"22","대동공업","특수 목적용 기계 제조업","000490"
"23","가온전선","절연선 및 케이블 제조업","000500"
"24","삼일제약","의약품 제조업","000520"
"25","CS홀딩스","기타 금융업","000590"
"26","동아쏘시오홀딩스","기타 금융업","000640"
"27","SK하이닉스","반도체 제조업","000660"
"28","영풍","1차 비철금속 제조업","000670"
"29","LS네트웍스","상품 종합 도매업","000680"
"30","유수홀딩스","회사 본부 및 경영 컨설팅 서비스업","000700"
"31","현대건설","토목 건설업","000720"
"32","이화산업","기타 전문 도매업","000760"
"33","화천기공","특수 목적용 기계 제조업","000850"
"34","강남제비스코","기타 화학제품 제조업","000860"
"35","한화","기타 화학제품 제조업","000880"
"36","보해양조","알코올음료 제조업","000890"
"37","유니온","시멘트 석회 플라스터 및 그 제품 제조업","000910"
"38","전방","방적 및 가공사 제조업","000950"
"39","한국주철관공업","1차 철강 제조업","000970"
"40","DB하이텍","반도체 제조업","000990"
"41","페이퍼코리아","펄프 종이 및 판지 제조업","001020"
"42","CJ","기타 금융업","001040"
"43","JW중외제약","의약품 제조업","001060"
"44","대한방직","직물직조 및 직물제품 제조업","001070"
"45","LG상사","상품 중개업","001120"
"46","대한제분","곡물가공품 전분 및 전분제품 제조업","001130"
"47","카리스국보","도로 화물 운송업","001140"
"48","금호전기","전구 및 조명장치 제조업","001210"
"49","동국제강","1차 철강 제조업","001230"
"50","GS글로벌","상품 종합 도매업","001250"
"51","남광토건","토목 건설업","001260"
"52","백광산업","기초 화학물질 제조업","001340"
"53","삼성제약","의약품 제조업","001360"
"54","SG충방","자동차 신품 부품 제조업","001380"
"55","KG케미칼","기초 화학물질 제조업","001390"
"56","세아베스틸","1차 철강 제조업","001430"
"57","대한전선","절연선 및 케이블 제조업","001440"
"58","BYC","봉제의복 제조업","001460"
"59","삼부토건","토목 건설업","001470"
"60","동양","시멘트 석회 플라스터 및 그 제품 제조업","001520"
"61","디아이동일","상품 중개업","001530"
"62","안국약품","의약품 제조업","001540"
"63","제일연마","기타 비금속 광물제품 제조업","001560"
"64","금양","기초 화학물질 제조업","001570"
"65","케이비아이동국실업","자동차 신품 부품 제조업","001620"
"66","종근당홀딩스","의약품 제조업","001630"
"67","대상","기타 식품 제조업","001680"
"68","SK네트웍스","기타 전문 도매업","001740"
"69","알루코","1차 비철금속 제조업","001780"
"70","대한제당","곡물가공품 전분 및 전분제품 제조업","001790"
"71","오리온홀딩스","기타 금융업","001800"
"72","무림SP","펄프 종이 및 판지 제조업","001810"
"73","삼화콘덴서공업","전자부품 제조업","001820"
"74","KISCO홀딩스","1차 철강 제조업","001940"
"75","코오롱","기타 금융업","002020"
"76","아세아","회사 본부 및 경영 컨설팅 서비스업","002030"
"77","남영비비안","봉제의복 제조업","002070"
"78","경농","비료 농약 및 살균 살충제 제조업","002100"
"79","고려산업","곡물가공품 전분 및 전분제품 제조업","002140"
"80","도화엔지니어링","건축기술 엔지니어링 및 관련 기술 서비스업","002150"
"81","삼양통상","가죽 가방 및 유사제품 제조업","002170"
"82","한국수출포장공업","골판지 종이 상자 및 종이 용기 제조업","002200"
"83","한일철강","1차 철강 제조업","002220"
"84","피에스텍","측정 시험 항해 제어 및 기타 정밀기기 제조업 광학기기 제외","002230"
"85","고려제강","1차 철강 제조업","002240"
"86","한국제지","펄프 종이 및 판지 제조업","002300"
"87","아세아제지","골판지 종이 상자 및 종이 용기 제조업","002310"
"88","한진","도로 화물 운송업","002320"
"89","넥센타이어","고무제품 제조업","002350"
"90","SH에너지화학","기초 화학물질 제조업","002360"
"91","케이씨씨","기타 화학제품 제조업","002380"
"92","한독","의약품 제조업","002390"
"93","범양건영","건물 건설업","002410"
"94","삼익악기","악기 제조업","002450"
"95","제일파마홀딩스","회사 본부 및 경영 컨설팅 서비스업","002620"
"96","오리엔트바이오","의약품 제조업","002630"
"97","한탑","곡물가공품 전분 및 전분제품 제조업","002680"
"98","TCC스틸","1차 철강 제조업","002710"
"99","국제약품","의약품 제조업","002720"
"100","아모레퍼시픽그룹","기타 화학제품 제조업","002790"
"101","신신제약","의약품 제조업","002800"
"102","삼영무역","기타 전문 도매업","002810"
"103","선창산업","나무제품 제조업","002820"
"104","미원상사","기타 화학제품 제조업","002840"
"105","신풍제지","펄프 종이 및 판지 제조업","002870"
