1,3S,[060310],코스닥시장상장법인,292,17128368773,14490427626,17721049522,22386071500,35193485505,52321854278
2,AJ네트웍스,[095570],유가증권시장상장법인,763,1.40E+12,7.23E+11,4.21E+11,46822295000,4.08E+11,1.81E+12
3,AK홀딩스,[006840],유가증권시장상장법인,649,2.79E+12,1.44E+12,1.25E+12,66237805000,1.47E+12,4.26E+12
4,APS홀딩스,[054620],코스닥시장상장법인,649,55517144249,36476862670,40633030293,10895916500,2.28E+11,2.84E+11
5,AP시스템,[265520],코스닥시장상장법인,292,3.08E+11,2.89E+11,2.84E+11,0,1.13E+11,4.20E+11
6,BGF,[027410],유가증권시장상장법인,649,1.18E+11,64624130333,3.19E+11,95716791000,1.55E+12,1.67E+12
7,BGF리테일,[282330],유가증권시장상장법인,471,1.55E+12,9.78E+11,7.24E+11,17283906000,5.92E+11,2.14E+12
8,BYC,[001460],유가증권시장상장법인,141,2.98E+11,1.21E+11,1.46E+11,4.20E+09,4.27E+11,7.26E+11
9,CJ,[001040],유가증권시장상장법인,649,2.68E+13,1.37E+13,1.02E+13,1.79E+11,1.46E+13,4.15E+13
10,CJ CGV,[079160],유가증권시장상장법인,591,3.85E+12,1.11E+12,5.75E+11,10580656500,5.32E+11,4.38E+12
11,CJ ENM,[035760],코스닥시장상장법인,602,3.79E+12,2.72E+12,2.05E+12,1.11E+11,3.60E+12,7.39E+12
12,CJ대한통운,[000120],유가증권시장상장법인,493,5.63E+12,2.69E+12,2.37E+12,1.14E+11,3.54E+12,9.17E+12
13,CJ제일제당,[097950],유가증권시장상장법인,107,1.65E+13,8.47E+12,6.43E+12,81908095000,9.07E+12,2.56E+13
14,CJ프레시웨이,[051500],코스닥시장상장법인,463,9.19E+11,6.25E+11,5.27E+11,11871586000,0,1.17E+12
15,CJ헬로,[037560],유가증권시장상장법인,602,8.33E+11,5.67E+11,2.96E+11,1.94E+11,1.06E+12,1.90E+12
16,CMG제약,[058820],코스닥시장상장법인,212,13237387629,9860038739,1.54E+11,69446122000,1.80E+11,1.93E+11
17,CNH,[023460],코스닥시장상장법인,642,3.25E+11,34642708533,1.12E+11,9.30E+10,1.08E+11,4.33E+11
18,CS,[065770],코스닥시장상장법인,264,5676689610,4645126182,21945740527,9417575000,22235964533,27912654143
19,CSA 코스믹,[083660],코스닥시장상장법인,222,13300756783,10768407282,23807324087,9873820500,19957100820,33257857603
20,CS홀딩스,[000590],유가증권시장상장법인,649,28735165632,17163182377,1.97E+11,5772410000,2.84E+11,3.13E+11
21,DB,[012030],유가증권시장상장법인,620,1.35E+11,53716876561,81374501535,1.01E+11,1.69E+11,3.04E+11
22,DB하이텍,[000990],유가증권시장상장법인,261,4.81E+11,2.04E+11,4.33E+11,2.23E+11,6.36E+11,1.12E+12
23,DMS,[068790],코스닥시장상장법인,292,1.22E+11,1.19E+11,1.20E+11,11521243500,1.66E+11,2.88E+11
24,DRB동일,[004840],유가증권시장상장법인,649,2.75E+11,2.14E+11,3.12E+11,9.97E+09,4.65E+11,7.40E+11
25,DSR,[155660],유가증권시장상장법인,242,75567306581,68987604186,1.16E+11,8.00E+09,1.55E+11,2.30E+11
26,E1,[017940],유가증권시장상장법인,467,2.57E+12,1.27E+12,1.58E+12,3.43E+10,1.19E+12,3.76E+12
27,EDGC,[245620],코스닥시장상장법인,701,44326189279,24975254998,49308584671,3617294000,50469308719,94795497998
28,EG,[037370],코스닥시장상장법인,467,40571057787,20984310054,22122312681,7.50E+09,33398102951,73969160738
29,EMW,[079190],코스닥시장상장법인,264,33813098861,28745916735,34334441290,15892098500,34241049704,68054148565
30,F&F,[007700],유가증권시장상장법인,141,1.87E+11,1.58E+11,3.61E+11,7.70E+09,4.41E+11,6.28E+11
31,GH신소재,[130500],코스닥시장상장법인,139,39427938208,33771817639,23002645065,5.50E+09,42503410568,81931348776
32,GKL,[114090],유가증권시장상장법인,912,2.92E+11,1.66E+11,3.50E+11,30927835000,5.68E+11,8.60E+11
33,GMR 머티리얼즈,[032860],코스닥시장상장법인,383,29119883807,23557836494,26577742928,33779420000,16784507011,45904390818
34,GRT,[900290],코스닥시장상장법인,649,424362526,362020911,2325089186,770089223,3478034008,3902396534
35,GS,[078930],유가증권시장상장법인,649,1.33E+13,4.76E+12,3.35E+12,4.74E+11,1.11E+13,2.44E+13
36,GST,[083450],코스닥시장상장법인,292,34371019600,28846248079,84118505135,4658872500,97732197414,1.32E+11
37,GS건설,[006360],유가증권시장상장법인,411,9.55E+12,6.22E+12,7.95E+12,4.00E+11,4.07E+12,1.36E+13
38,GS글로벌,[001250],유가증권시장상장법인,468,8.72E+11,7.58E+11,7.54E+11,2.06E+11,4.15E+11,1.29E+12
39,GS리테일,[007070],유가증권시장상장법인,471,4.28E+12,1.86E+12,9.30E+11,7.70E+10,2.56E+12,6.84E+12
40,GS홈쇼핑,[028150],코스닥시장상장법인,602,2.92E+11,2.82E+11,6.73E+11,32812500000,1.12E+12,1.42E+12
