"","com_code","bs_19_3","is_19_3","cf_19_3"
"1","000020","3.74778e+11_2.94121e+11_80656909743_2.25784e+11_40201256076_1.48994e+11_62259217747_2.41285e+11","74216993968_45972892237_28244101731_707018881_473583357_233435524_-66299781_8","5971051874_-2305245319_-4076295553"
"2","000040","1.27247e+11_57640246437_69606666419_58466554360_7084468210_68780358496_56577363571_NA","34004529035_32837303960_1167225075_-5464444766_0_-5464444766_-5165721708_-26","-6739097327_8471533713_-25810743237"
"3","000050","1.33418e+12_7.08841e+11_6.25343e+11_1.2263e+11_9524083053_1.21155e+12_1.7635e+11_7.03276e+11","NA_NA_NA_NA_NA_-885675563_1764519921_NA","46022708656_-26879005339_-15908289788"
"4","000070","3.66781e+12_2.06356e+12_1.60425e+12_1.34334e+12_1.90932e+11_2.32447e+12_5.66765e+11_1.00855e+12","6.44454e+11_5.21798e+11_1.22656e+11_3.278e+10_6.36e+09_2.642e+10_1.7806e+10_1847","1.37825e+11_-2.84522e+11_2.32286e+11"
"5","000080","3.40612e+12_1.10052e+12_2.3056e+12_8.82584e+11_2.25033e+11_2.52353e+12_1.48547e+12_3.03373e+11","5.29071e+11_2.96082e+11_2.32989e+11_34778447074_8958804590_25819642484_30536853740_372","-31877605210_-18558181941_-20607537050"
"6","000100","2.13452e+12_1.64853e+12_4.8599e+11_1.12606e+12_2.62625e+11_1.00846e+12_3.1473e+11_NA","3.82258e+11_2.7715e+11_1.05109e+11_18299791825_5741836822_12557955003_9305291857_NA","49376287651_21050427665_-52669294438"
"7","000120","9.16671e+12_3.53897e+12_5.62774e+12_2.37036e+12_1.73574e+11_6.79635e+12_2.69277e+12_5.86637e+11","NA_NA_NA_NA_NA_13007850530_34344165147_NA","2.79217e+11_-3.12609e+11_43117321413"
"8","000140","3.96743e+12_1.04291e+12_2.92452e+12_9.04901e+11_2.47089e+11_3.06253e+12_1.78055e+12_1.5981e+11","5.26677e+11_2.92968e+11_2.33709e+11_32989930461_9465194767_23524735694_26786035018_519","-43331399747_-12820817767_-11473225429"
"9","000150","3.0477e+13_6.89655e+12_2.35805e+13_1.27868e+13_1.60393e+12_1.76902e+13_1.73539e+13_8.57408e+11","NA_NA_NA_NA_NA_-82392863723_-25001039521_NA","-8.09025e+11_5.47552e+11_NA"
"10","000180","6.44313e+11_4.81525e+11_1.62788e+11_79835524686_8646621193_5.64478e+11_78208046168_1.93932e+11","38176055180_34028843033_4147212147_-1567675859_0_-1567675859_-1255136943_-24","4273139518_-17288893162_15893020937"
"11","000210","1.29293e+13_6.54459e+12_6.3847e+12_6.28091e+12_2.08222e+12_6.64839e+12_4.26962e+12_5.2462e+12","NA_NA_NA_NA_NA_1.78318e+11_1.66076e+11_NA","4.13818e+11_-1.2471e+11_-3.41547e+11"
"12","000220","1.33144e+11_89217046763_43926730682_63126265362_24289345235_70017512083_19725490916_41649549836","21540517751_10969773137_10570744614_1454672698_224256101_1230416597_1101978033_160","7469710388_-3594928334_-6763214574"
"13","000230","8.4306e+11_3.68803e+11_4.74257e+11_2.66857e+11_1.04754e+11_5.76204e+11_3.02795e+11_45238105337","1.27364e+11_1.37057e+11_NA_-5374558489_2202977756_-3171580733_-4305206256_-271","6699167566_31045930091_33356621610"
"14","000240","3.67306e+12_3.38269e+12_2.90374e+11_5.81145e+11_1.35598e+11_3.09191e+12_1.86267e+11_1.99626e+12","2.29043e+11_1.38934e+11_90108331237_86760003245_8415167777_78344835468_72596176524_824","82092468977_-1.00591e+11_-45409009193"
"15","000250","2.83176e+11_2.23318e+11_59857620728_1.62119e+11_60090379489_1.21057e+11_40509141502_1.27484e+11","52763815835_18526688669_34237127166_10072186048_474643911_9597542137_9568546134_342","26995176844_-16772443927_-1698100314"
"16","000270","5.5427e+13_2.87365e+13_2.66905e+13_2.18683e+13_4.2722e+12_3.35587e+13_1.7744e+13_2.56697e+13","NA_NA_NA_NA_NA_3.25804e+11_3.77015e+11_NA","3.3445e+12_-6.04949e+11_-8.33838e+11"
"17","000300","1.0825e+12_1.54139e+11_9.28359e+11_4.78942e+11_10103139102_6.03556e+11_8.36704e+11_-28137591392","1.04545e+11_85504013519_19041188929_8239771804_1456368677_6783403127_6279396008_27","-18078567851_-41529313121_51946665343"
"18","000320","1.03227e+12_5.72268e+11_4.6e+11_4.80674e+11_82756701232_5.51593e+11_3.41524e+11_3.02992e+11","NA_NA_NA_NA_NA_7507866092_10205023798_NA","32889890472_-43290048492_-3833253397"
"19","000390","5.59288e+11_2.82757e+11_2.76531e+11_2.76615e+11_30835501026_2.82672e+11_1.99251e+11_2.72222e+11","1.34239e+11_1.10235e+11_24004699811_2576455170_1124892606_1451562564_2413561634_62","14542757865_-4876637911_-9238888325"
"20","000430","1.08542e+12_5.77167e+11_5.08258e+11_3.43132e+11_30060577831_7.29867e+11_3.878e+11_4.28569e+11","NA_NA_NA_NA_NA_3106451737_3038732912_NA","54518571053_-31020254959_-21661352661"
"21","000480","1.05862e+12_6.98359e+11_3.6026e+11_3.63111e+11_48934715821_6.95508e+11_2.94207e+11_5.12437e+11","NA_NA_NA_NA_NA_12908219467_8890562174_NA","61495984771_-64892512464_20341310429"
"22","000490","9.12023e+11_2.46116e+11_6.65908e+11_5.63305e+11_27532539290_3.48718e+11_5.12848e+11_2.0994e+11","2.03368e+11_1.536e+11_49767599799_3381267491_1009885602_2371381889_3281463547_122","-7889207974_-35467096030_55973527320"
"23","000500","5.39163e+11_2.62621e+11_2.76542e+11_2.88713e+11_22843071033_2.5045e+11_1.95283e+11_2.1846e+11","2.08543e+11_1.98509e+11_10034611956_462400597_-325706037_788106634_518173620_201","4761227350_-4352052857_-6141544647"
"24","000520","1.83171e+11_64350149478_1.18821e+11_87898240779_31051287591_95273181111_83560515360_37439784946","30304829323_18839558396_11465270927_-459830863_-12240126_-447590737_-36306781_-73","837177995_-3134584616_29495776658"
"25","000590","3.13199e+11_2.84464e+11_28735165632_1.96536e+11_1.02831e+11_1.16663e+11_17163182377_1.76927e+11","32950555286_24628609418_8321945868_6615069705_1242388885_5372680820_5480427869_2981","15936432401_15750349009_-7439522094"
"26","000640","1.33629e+12_7.52437e+11_5.83853e+11_3.07837e+11_1.18345e+11_1.02845e+12_3.72009e+11_4.94182e+11","2.25401e+11_2.05676e+11_NA_20024841784_2481602799_17543238985_18218785117_2858","85776737337_-61503588368_-13953856139"
"27","000660","6.36718e+13_4.82662e+13_1.54055e+13_1.41755e+13_1.20314e+12_4.94963e+13_6.82742e+12_4.31226e+13","6.83877e+12_5.02313e+12_1.81564e+12_5.20299e+11_2.4815e+10_4.95484e+11_5.54964e+11_721","3.89962e+12_-8.0312e+12_2.95278e+12"
"28","000670","4.87352e+12_3.68927e+12_1.18424e+12_1.51264e+12_1.84178e+11_3.36088e+12_6.854e+11_3.18791e+12","9.22973e+11_8.47118e+11_75854997957_91336778116_6039282988_85297495128_95939424713_NA","1.05554e+11_-84273685975_-28616302911"
"29","000680","1.17208e+12_5.35813e+11_6.36266e+11_2.75729e+11_22140843919_8.96351e+11_1.50335e+11_2.15171e+11","79775279285_58054833842_21720445443_-83536311610_-18824873063_-64711438547_-64663565585_-881","-26931522283_19275486721_845358432"
"30","000700","5.45404e+11_3.36718e+11_2.08686e+11_2.45244e+11_1.1165e+11_3.0016e+11_91640633216_32886833262","NA_73250619870_14757604390_-47339588_286410646_-333750234_874016359_-13","11693895270_325080956_-6969318820"
"31","000720","1.83424e+13_8.88709e+12_9.45526e+12_1.36682e+13_2.56075e+12_4.67417e+12_6.70756e+12_5.35837e+12","4.08776e+12_3.67156e+12_4.16201e+11_2.88713e+11_7.0481e+10_2.18232e+11_2.77563e+11_1472","3.90918e+11_2.0269e+10_-1.07296e+11"
"32","000760","2.8627e+11_1.81085e+11_1.05185e+11_45756842447_11621323920_2.40513e+11_89635425233_50844096434","NA_NA_NA_NA_NA_-1235876807_-1255373448_NA","1526068528_-167217107_-675124865"
"33","000850","3.91942e+11_3.00227e+11_91714530838_1.85011e+11_23704934180_2.06931e+11_59083787758_2.06063e+11","52720722147_42873709869_9847012278_2837221214_464563074_2372658140_2559692643_1078","15192042309_4818037390_-6856673960"
"34","000860","6.68832e+11_5.58255e+11_1.10577e+11_1.82556e+11_53413375090_4.86276e+11_59772564746_4.48916e+11","79369944610_71631998614_7737945996_3117137743_901189945_2215947798_1853018961_294","7517751512_13452795670_-4079574350"
"35","000880","1.79292e+14_1.90809e+13_1.60211e+14_1.42454e+13_2.39577e+12_1.87866e+13_1.53361e+13_3.89326e+12","1.29783e+13_1.19326e+13_1.04572e+12_3.6527e+11_6.4919e+10_3.00351e+11_6.77339e+11_1537","8.29002e+11_-2.90668e+12_2.8363e+11"
"36","000890","1.85451e+11_92489784284_92960979397_69999940953_7360497891_1.15451e+11_68060119732_-4037945110","19644718723_13545554255_6099164468_-286717755_-70899979_-215817776_-233998703_NA","3265241082_6022555960_-11081990544"
"37","000910","3.12175e+11_1.46169e+11_1.66006e+11_1.29402e+11_13285487842_1.82773e+11_1.24045e+11_84834602191","57528893480_48009698677_9519194803_-12004226790_-2959013210_-9045213580_-8878583168_NA","12246657050_-22146109737_16336972084"
"38","000950","3.37281e+11_94809978186_2.42471e+11_46126313328_299742847_2.91154e+11_2.06717e+11_-32347527197","33176706150_39200688678_-6023982528_-11277957328_-11565662_-11266391666_-11202516266_-9831","-1932732205_281629000_1416757500"
"39","000970","3.63588e+11_2.7689e+11_86698086011_1.71868e+11_41582136073_1.9172e+11_75221672466_1.63384e+11","1.29643e+11_1.04197e+11_25446650561_3862775292_-1040179425_4902954717_4835340905_168","36742368092_-181633587_-17151485342"
"40","000990","1.1171e+12_6.3595e+11_4.81152e+11_4.3251e+11_65636883653_6.84591e+11_2.0412e+11_3.65072e+11","NA_NA_NA_NA_NA_44638672356_44773215030_NA","1.00631e+11_-80472508303_-73927955322"
"41","001020","5.97644e+11_25613108612_5.72031e+11_3.38684e+11_9938115848_2.58959e+11_3.80324e+11_-1.64188e+11","76256304423_65411696036_10844608387_2271380560_4244156472_6515537032_6515537032_73","-22079133823_-7871016608_12926634134"
"42","001040","4.14534e+13_1.46379e+13_2.68155e+13_1.01657e+13_1.45284e+12_3.12867e+13_1.37455e+13_3.57365e+12","NA_NA_NA_NA_NA_73424785000_2.58865e+11_NA","2.18024e+12_-4.05717e+12_1.86068e+12"
"43","001060","5.82904e+11_2.55763e+11_3.2714e+11_3.64885e+11_39286119459_2.18019e+11_2.60073e+11_1.12367e+11","1.33015e+11_88282403337_44732610788_1245175343_102463935_1142711408_1189129593_56","26418257447_-9820554816_-11013695841"
"44","001070","1.9676e+11_1.36993e+11_59767806474_84676626838_17729429764_1.12084e+11_40257400627_1.37783e+11","37835636798_35379877268_2455759530_-2626183279_-648628137_-1977555142_-1836986152_-417","-9202421497_-2798891772_-58435911303"
"45","001120","5.59717e+12_1.79954e+12_3.79763e+12_2.88718e+12_3.0138e+11_2.70999e+12_2.44763e+12_1.0436e+12","NA_NA_NA_NA_NA_8986283857_39581680136_NA","-52197729245_51465179141_-61131130394"
"46","001130","9.87089e+11_7.61169e+11_2.25921e+11_4.35181e+11_76418072402_5.51908e+11_1.78512e+11_7.01716e+11","2.39127e+11_1.92472e+11_46655113633_5109691128_-1612613694_3497077434_2935942816_2098","-16067626394_-20729211979_24062569949"
"47","001140","1.29921e+11_31282717992_98638525754_85854315885_6723523255_44066927861_86309311004_-26693875921","24229079097_19118902361_5110176736_-15705891774_-3928142981_-11777748793_-11741105111_-614","-19179853540_-25659189889_50481309858"
"48","001210","1.37313e+11_32665579771_1.04647e+11_30652863275_2551368528_1.0666e+11_95957820606_-46136178510","13270720076_9802613890_3468106186_-3519499528_32012183_-3950731323_-3794699347_NA","-6784683637_9686285284_-11017824543"
"49","001230","5.74535e+12_2.00813e+12_3.73722e+12_2.22639e+12_4.29953e+11_3.51896e+12_3.1109e+12_4.48214e+11","NA_NA_NA_NA_NA_-60101219723_-53463863354_NA","88926961014_-53483682694_48260076822"
"50","001250","1.28699e+12_4.14676e+11_8.72315e+11_7.53517e+11_67799406130_5.33474e+11_7.57613e+11_99762805496","NA_NA_NA_NA_NA_2917013642_3975937447_NA","20469951594_-6736656592_-19244834676"
"51","001260","1.76023e+11_52282653227_1.2374e+11_1.17661e+11_21479023959_58362200317_1.12614e+11_19150979710","63094484035_54014316168_9080167867_971111899_0_971111899_794468557_99","-27912008861_-8106169604_19691159302"
"52","001340","3.04691e+11_1.65345e+11_1.39346e+11_53919726461_10846718821_2.50771e+11_94215426474_18393330196","41980655663_29952731117_12027924546_3350877664_300926249_3049951415_3035181225_71","26710178668_-27855120604_2077728026"
"53","001360","1.58651e+11_1.34007e+11_24643747964_52334310555_2057252781_1.06317e+11_22032456444_-4508060933","23336104259_18444058545_4892045714_-6342709183_NA_-6342709183_-3830963354_-108","-3742860872_6116972423_-3468216523"
"54","001380","1.99153e+11_1.29163e+11_69990158195_46044666937_15280267603_1.53108e+11_38216307683_63599323410","23746573091_22366408638_1380164453_-630341113_-47796879_-582544234_-417512258_-13","15185625564_-2521957015_-7874885318"
"55","001390","4.35115e+12_1.40497e+12_2.94617e+12_1.646e+12_3.08211e+11_2.70515e+12_1.64252e+12_2.81771e+11","5.20149e+11_3.90354e+11_1.29795e+11_2.59361e+11_8561899608_2.50799e+11_2.50315e+11_NA","76921972504_1.89084e+11_-1.38318e+11"
"56","001430","3.72285e+12_1.98773e+12_1.73512e+12_1.46267e+12_1.83085e+11_2.26017e+12_9.46787e+11_1.23731e+12","7.1486e+11_6.8437e+11_30489875248_-533828018_-2077566584_1543738566_2114214246_8","2.50241e+11_-57690565331_-82632001524"
"57","001440","1.16289e+12_3.05368e+11_8.57523e+11_6.26953e+11_1.28309e+11_5.35937e+11_3.56524e+11_1.86186e+11","3.67465e+11_3.45231e+11_22234045000_-1606306000_737598000_-2468453000_-2011379000_-3","20559817000_-15994133000_7101643000"
"58","001460","7.25595e+11_4.2744e+11_2.98155e+11_1.46041e+11_61852167188_5.79554e+11_1.20617e+11_4.16983e+11","41810931214_24332598717_17478332497_20447073049_8121663087_12325409962_12206818945_NA","1715409596_87208675915_-54352299148"
"59","001470","3.96657e+11_2.02688e+11_1.93969e+11_2.39799e+11_56607039537_1.56858e+11_1.38737e+11_17687105096","55610062462_56482475345_-872412883_8820699216_-701002_6784463945_8783374197_51","-25565855341_-13239561925_-19277809536"
"60","001520","9.96863e+11_8.20308e+11_1.76554e+11_3.72595e+11_12770135207_6.24268e+11_1.35235e+11_1.35798e+11","NA_NA_NA_NA_NA_-6219283834_-5573669380_NA","21420233166_-27309771288_-7983800096"
